date,image,đường trước nhà,số tầng,số phòng ngủ,số nhà vs,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ,quận,huyện
08/12/2020,/files/properties/2020/12/1/thumbnails/07454895-5918-ban-can-ho-chung-cu-ha-noi.jpg,NULL,5,2,2,NULL,45, ---, _,1850.0,"Phố Trần Huy Liệu, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
08/12/2020,/files/properties/2020/12/1/thumbnails/07454984-0424-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,4,2,2,NULL,93, ---, _,4300.0,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Đống Đa,Phường Ô Chợ Dừa
08/12/2020,/files/properties/2020/12/1/thumbnails/07457712-3518-ban-can-ho-chung-cu-quan-ba-dinh.jpg,NULL,10,2,3,NULL,84, ---, _,3500.0,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
08/12/2020,/files/properties/2020/12/1/thumbnails/07458617-5037-ban-can-ho-chung-cu-quan-dong-da.jpg,NULL,4,2,3,NULL,65, ---, _,3850.0,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Đống Đa,Phường Ô Chợ Dừa
08/12/2020,/files/properties/2020/11/30/thumbnails/07448048-1237-ban-can-ho-chung-cu-quan-ba-dinh-chinh-chu.jpg,NULL,15,2,3,NULL,84, ---, _,3500.0,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
08/12/2020,/files/properties/2020/11/16/thumbnails/07352495-3811-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,24,3,3,NULL,180, ---, _,8100.0,"Phố Nam Cao, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
08/12/2020,/files/properties/2020/11/20/thumbnails/07384076-1437-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,5,2,1,NULL,65, ---, _,3800.0,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Đống Đa,Phường Ô Chợ Dừa
08/12/2020,/files/properties/2020/11/15/thumbnails/07344066-5902-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,24,2,1,NULL,105, ---, _,2990.0,"Đường Tú Mỡ, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",Cầu Giấy,Phường Yên Hòa
08/12/2020,/files/properties/2020/11/11/thumbnails/07313959-3517-ban-can-ho-chung-cu-quan-long-bien-gia-re.jpg,NULL,6,2,3,NULL,68, ---, _,1300.0,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",Long Biên,Phường Phúc Lợi
08/12/2020,/files/properties/2020/11/21/thumbnails/20201121_094551_590010_0.jpg,NULL,26,2,2,1,70, ---, _,2200.0,"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Hoàng Mai,Phường Đại Kim
